,0
532,256040540
533,151093450
534,334972048
535,12095118
536,340510886
537,7617391
538,12258801
539,19200450
540,8271676
541,13363059
542,337964536
543,19367025
544,7736793
545,18410207
546,7939520
547,15080281
548,10686581
549,19177096
550,21328056
551,21992356
552,13054767
553,151500436
554,8390445
555,18687594
556,15735935
557,14899674
558,342805529
559,13231427
560,18320161
561,150844094
562,20474644
563,17687903
564,18269826
565,11628306
566,343302995
567,18996183
568,22486648
569,8628992
570,21910710
571,18101511
572,151935357
573,12256666
574,343194927
575,17723211
576,9179123
577,9838433
578,17918622
579,12410918
580,17762454
581,15589427
582,18637645
583,8069261
584,260082298
585,9979498
586,12092146
587,338320785
588,16131299
589,259684398
590,6610588
591,16144126
592,254939753
593,16340130
594,397789673
595,12974300
596,5100545
597,20679988
598,9850323
599,19426773
600,11587708
601,344465610
602,343496557
603,147722236
604,257234416
605,14422525
606,257569084
607,25245959
608,16518022
609,10340262
610,21820601
611,341487160
612,16607861
613,17087407
614,21210759
615,337068354
616,345172616
617,17426641
618,17011668
619,260382341
620,7916943
621,15401715
622,144453911
623,148580241
624,147263919
625,16070203
626,344913583
627,259060466
628,18260281
629,14026816
630,12340913
631,16186150
632,19515076
633,13462845
634,20702121
635,12606299
636,17616506
637,11872948
638,11027508
639,16977454
640,13105298
641,13560133
642,7769326
643,17793075
644,22817136
645,8939461
646,152815917
647,146801413
648,27617872
649,12574974
650,12569763
651,13268724
652,258899847
653,15173123
654,149979736
655,18086996
656,345138593
657,18321815
658,12631961
659,21365448
660,146432483
661,14931961
662,15668300
663,17171739
664,10608541
665,13925333
666,20188658
667,19744314
668,16876091
669,14362813
670,21276166
671,19651674
672,19034381
673,388880257
674,17755594
675,257505543
676,15648028
677,262001626
678,17750116
679,14453562
680,23831359
681,157351269
682,15484527
683,340236278
684,154740718
685,21243684
686,15296567
687,17371301
688,257390363
689,338139822
690,18404776
691,342633345
692,258468107
693,18365406
694,11224579
695,14516081
696,9373147
697,150147912
698,22543861
699,14219177
700,9480580
701,15271576
702,10775743
703,23893865
704,16436070
705,20353701
706,348733221
707,15459917
708,340817479
709,18184182
710,10657362
711,9722028
712,13010972
713,14754759
714,19041227
715,13508434
716,11588242
717,7355167
718,9433942
719,13479916
720,19726943
721,18978462
722,11052993
723,25820087
724,18018649
725,337349574
726,13082659
727,19785902
728,255121133
729,152420734
730,255106849
731,12819724
732,338567640
733,150921301
734,12821387
735,15535932
736,13019127
737,342062849
738,147574977
739,16345131
740,153543694
741,14573199
742,343822872
743,9078539
744,18795112
745,14661566
746,259523655
747,17140986
748,152290776
749,12581419
750,392064960
751,260490882
752,11148960
753,25116416
754,335386449
755,21143939
756,26552668
757,16423753
758,14490011
759,15588120
760,13447381
761,10799227
762,17193366
763,10639186
764,16903575
765,17623700
766,18181030
767,7019915
768,18622611
769,18982717
770,8032761
771,260254551
772,12326740
773,9903979
774,16895615
775,14029645
776,15234152
777,152674620
778,15047898
779,14553676
780,15307445
781,22397696
782,20189574
783,10387530
784,16176535
785,15938708
786,12783559
787,17644564
788,17347742
789,339492945
790,14117796
791,15694855
792,260305382
793,14125006
794,13325950
795,15990466
796,21260458
797,17298162
798,16718571
799,11791507
800,388446863
801,13111962
802,15312574
803,13358494
804,12778041
805,339529265
806,13109250
807,8524484
808,18167685
809,19712641
810,13284586
811,148347563
812,14750666
813,254615823
814,152685148
815,14323245
816,8384790
817,257954021
818,340127262
819,14236783
820,13105316
821,256472476
822,149645472
823,146833991
824,17563991
825,15297177
826,12638145
827,261042766
828,15824336
829,15439788
830,18462602
831,10519923
832,260310293
833,9929139
834,10013734
835,12449814
836,395792748
837,20362318
838,11422364
839,19398835
840,11777418
841,22311536
842,14248869
843,15048605
844,21260125
845,7054274
846,17076378
847,20000832
848,15490842
849,9071572
850,12983960
851,12596305
852,15587604
853,13784420
854,15763800
855,17467108
856,13653265
857,14165511
858,10003211
859,21221093
860,12020533
861,15608809
862,16095488
863,9673164
864,23753320
865,257217127
866,20027440
867,7011636
868,23341386
869,18144746
870,340980826
871,150005646
872,15441389
873,15370461
874,14454046
875,343614295
876,16785225
877,150600934
878,16730780
879,15961248
880,8646610
881,13548116
882,8913673
883,17893037
884,14043637
885,149119512
886,150256818
887,13338470
888,16326996
889,13979837
890,264205813
891,11502703
892,14618915
893,18575406
894,14382085
895,10045640
896,14906833
897,150192803
898,336297603
899,9046100
900,15862826
901,19422539
902,17860572
903,15615496
904,12004971
905,149486387
906,13112070
907,22996457
908,24887075
909,15210375
910,15722633
911,256136535
912,17111113
913,14150260
914,254329659
915,15394169
