,0
532,10540592
533,10799656
534,10760485
535,10490587
536,10709980
537,10719701
538,10600849
539,10581052
540,10560985
541,10769799
542,10665094
543,10792196
544,10647164
545,10858917
546,10668856
547,10599355
548,10626907
549,10592348
550,10679680
551,10718691
552,10824861
553,10844885
554,10751040
555,10613726
556,10586142
557,10621545
558,10640485
559,10656301
560,10702817
561,10833238
562,10929995
563,10506779
564,10603080
565,10763779
566,10866946
567,10563629
568,10559330
569,10862920
570,10751665
571,10592276
572,10654728
573,10634124
574,10580825
575,10805451
576,10583201
577,10471151
578,10736362
579,10783796
580,10728727
581,10744443
582,10680961
583,10736685
584,10537360
585,10671337
586,10464031
587,10888486
588,10707292
589,10849906
590,10618474
591,10636746
592,10605371
593,10760157
594,10477999
595,10698497
596,10746831
597,10668540
598,10689362
599,10712859
600,10585093
601,10697095
602,10485791
603,10781838
604,10656935
605,10788060
606,10794831
607,10646846
608,10566473
609,10726852
610,10659016
611,10603392
612,10726887
613,10768818
614,10669888
615,10911194
616,10723264
617,10718169
618,10740760
619,10591390
620,10599013
621,10699010
622,10734742
623,10672697
624,10595569
625,10866222
626,10871010
627,10588214
628,10683769
629,10607622
630,10752471
631,10706433
632,10590421
633,10802938
634,10616007
635,10660650
636,10631656
637,10669762
638,10700532
639,10475188
640,10752277
641,10815691
642,10660176
643,10670371
644,10683659
645,10554869
646,10659328
647,10656693
648,10705139
649,10745000
650,10635299
651,10783452
652,10454962
653,10805579
654,10756462
655,10595490
656,10646206
657,10661846
658,10656741
659,10808496
660,10802724
661,10452240
662,10761925
663,10621990
664,10573064
665,10810035
666,10851462
667,10664239
668,10783443
669,10678848
670,10743505
671,10618243
672,10619925
673,10342257
674,10506003
675,10523085
676,10844740
677,10794417
678,10706399
679,10639063
680,10539520
681,10700206
682,10685984
683,10785852
684,10727416
685,10730634
686,10821714
687,10441572
688,10688462
689,10738720
690,10582130
691,10651465
692,10616206
693,10651956
694,10790407
695,10465146
696,10904084
697,10572869
698,10961252
699,10555238
700,10844903
701,10647911
702,10850415
703,10616888
704,10805536
705,10777391
706,10716094
707,10540873
708,10702384
709,10852495
710,10538188
711,10703712
712,10607922
713,10753898
714,10830632
715,10582651
716,10712554
717,10720881
718,10759487
719,10522851
720,10822440
721,10930073
722,10743839
723,10665769
724,10660921
725,10669030
726,10603010
727,10685952
728,10828664
729,10466359
730,10551272
731,10726000
732,10739613
733,10801065
734,10863665
735,10717697
736,10633981
737,10805148
738,10781891
739,10671908
740,10710841
741,10871106
742,10633037
743,10603714
744,10795818
745,10655614
746,10443267
747,10655977
748,10636742
749,10740424
750,10723860
751,10641986
752,10732286
753,10684540
754,10864605
755,10642033
756,10687856
757,10641991
758,10611133
759,10744332
760,10704493
761,10502621
762,10857058
763,10453469
764,10761300
765,10636314
766,10795347
767,10558537
768,10602136
769,10720258
770,10864386
771,10572096
772,10544482
773,10691274
774,10895340
775,10604822
776,10550181
777,10740781
778,10853298
779,10533274
780,10803542
781,10810686
782,10512508
783,10766715
784,10660965
785,10491836
786,10925517
787,10650892
788,10543907
789,10525338
790,10593899
791,10760428
792,10743244
793,10571936
794,10845278
795,10842490
796,10681970
797,10771723
798,10517484
799,10598420
800,10872224
801,10767474
802,10616993
803,10589196
804,10602525
805,10541185
806,10502299
807,10812024
808,10772086
809,10777277
810,10897125
811,10670593
812,10573943
813,10542562
814,10641476
815,10622197
816,10601637
817,10584001
818,10764336
819,10610697
820,10843131
821,10519352
822,10655779
823,10610623
