,0
532,24129298
533,7377104
534,14608940
535,8359504
536,17817652
537,25188868
538,16429936
539,12064754
540,19832442
541,19496528
542,20656888
543,17403124
544,19844622
545,17524744
546,20077276
547,10919964
548,19234862
549,17018728
550,12207260
551,17796236
552,21474204
553,13800482
554,17302872
555,16387269
556,24147770
557,24283956
558,7662107
559,20044126
560,14727484
561,8163548
562,22876324
563,16076126
564,19749712
565,20971556
566,16736966
567,15561230
568,15868580
569,21089384
570,22046992
571,15032826
572,23733246
573,23568458
574,22126956
575,20409100
576,23388120
577,24885024
578,20048302
579,18649500
580,23780438
581,14651036
582,9795836
583,24534362
584,14700570
585,19286212
586,23751200
587,25952922
588,20205328
589,19950888
590,25335954
591,16002344
592,14418800
593,9970386
594,22095780
595,21603562
596,18577494
597,7639749
598,24514754
599,22539546
600,25840824
601,23219676
602,17352992
603,21210784
604,21741022
605,14437656
606,21189578
607,22540846
608,23264768
609,21709436
610,12008872
611,21203992
612,24836096
613,18563400
614,17480276
615,13685754
616,14632958
617,16779636
618,15150286
619,13717834
620,20503686
621,15575738
622,16188600
623,16458836
624,12050496
625,17849912
626,21893044
627,16587970
628,22418660
629,21246666
630,17906734
631,25646952
632,22077872
633,19935470
634,16629556
635,20885014
636,16335470
637,23266744
638,11445514
639,22638148
640,15272632
641,14728558
642,20532534
643,21270154
644,19949594
645,18486952
646,24607776
647,29004608
648,15975248
649,13121656
650,15917618
651,18262548
652,24383546
653,9448746
654,22461998
655,12319226
656,22571082
657,20834414
658,18848472
659,28418506
660,20382662
661,10078624
662,13205986
663,15013782
664,20311894
665,26384310
666,20634172
667,16236610
668,15785646
669,22939278
670,9538838
671,21038890
672,17138618
673,10720920
674,17519362
675,20372478
676,28012586
677,26333992
678,27257766
679,13921882
680,27043468
681,17145520
682,18494608
683,19744710
684,24769150
685,18364718
686,23492268
687,10707476
688,21334846
689,14933176
690,18103782
691,17895864
692,25894796
693,18156788
694,15998094
695,18624308
696,20986916
697,17645036
698,23604464
699,22151624
700,18994530
701,19492930
702,18196306
703,19399036
704,21704012
705,26151058
706,30690746
707,21660356
708,22395232
709,21644348
710,23789560
711,16107320
712,18118002
713,27135952
714,25577356
715,16278894
716,20619144
717,12398692
718,23663736
719,19742732
720,14991206
721,20917160
722,15111770
723,16289506
724,13232548
725,14800554
726,17191456
727,16559042
728,20352396
729,11533832
730,23114782
731,12473268
732,19764270
733,13644742
734,26175398
735,26599074
736,20449722
737,20737712
738,12965458
739,17250026
740,21350244
741,18253638
742,21071994
743,15917784
744,14156480
745,22639596
746,22177118
747,22333440
748,18635574
749,18813746
750,12825756
751,18312254
752,22281678
753,16345980
754,7375000
